name,name_norm,country,lei,wikidata_qid,alias1,alias2,alias3,alias4,alias5,address,city,postal_code,source
COUTTS FAMILY INVESTMENT LIMITED,coutts family investment,GB,21380012GE9W1VHLXG35,,,,,,,25 BALHALGARDY DRIVE,INVERURIE,AB51 5AZ,GLEIF
GMJ INFRATECH JAIPUR,gmj infratech jaipur,IN,6488BJ9G3Z6866ZBR033,,,,,,,"B-144, ROAD NUMBER 9, VISHWAKARMA INDUSTRIAL AREA Rajasthan",Jaipur,302013,GLEIF
PRAKASH TELECOM,prakash telecom,IN,3358001H5BJ5JUSR9P24,,,,,,,"BLOCK NO. 01 , PLOT NO. 02 RAMNAGAR MAIN ROAD, RANDER ROAD",SURAT,395005,GLEIF
SREEDHAR AVULA,sreedhar avula,IN,6488CDT2J9D14WS27522,,,,,,,"GROUND FLOOR, NO. 001, Shanthi Park Apartments DISTRICT FUND ROAD, 9TH BLOCK, JAYANAGAR, Karnataka",Bengaluru,560069,GLEIF
J A M Persoon Belastingadvies B V,j a m persoon belastingadvies b v,NL,724500CR9C6WM0F1KO77,,,,,,,Park Hoornwijck 2,Rijswijk,2289CZ,GLEIF
RISHABH TRADING COMPANY,rishabh trading,IN,335800Q3FMDEZJYEFK10,,,,,,,"42, KRISHI UPAJ MANDI PRANGAN NO 2, A.B. ROAD,",DEWAS,455001,GLEIF
BIJAY PHARMACEUTICAL AGENCIES,bijay pharmaceutical agencies,IN,8945009VIYJGYRE6BU23,,,,,,,"Ward No. 32, H.No-904/A/4, Nimpur","Jagatpur, Cuttack",754021,GLEIF
ANGEL CERDEIRA ALCAYAGA Y OTROS C B,angel cerdeira alcayaga y otros c b,ES,9598003SECMB1CSGG352,,,,,,,LUGAR DE BREA 134,Bergondo,15640,GLEIF
LAMB BUILDING CONSULTANCY LTD,lamb building consultancy,GB,984500D59FBE78C96D27,,,,,,,C/O Hawkins Accounts Ltd Unit 10 Saxon House Upminster Trading Park Warley Street,Upminster,RM14 3PJ,GLEIF
Gopi Chand Abichandani,gopi chand abichandani,IN,6488498QTFAI6309ND09,,,,,,,"42, Pace City, Sector-37 Haryana",Gurugram,122001,GLEIF
The Base Solutions B V,the base solutions b v,NL,724500X3RRSSXMEWVC78,,,,,,,Amsteldijk Zuid 61,Amstelveen,1184VD,GLEIF
MIDDLE KING PARTNERS LLC,middle king partners,US,254900IGHQ7Q4J21TB63,,,,,,,C/O PARACORP INCORPORATED 2140 S DUPONT HWY,CAMDEN,19934,GLEIF
ResInvest Fund SICAV a s,resinvest fund sicav a s,CZ,315700ZC5JA6J768XE59,,,,,,,Sokolovská 700/113a,Praha,186 00,GLEIF
SAVOIA S AS DI LEONARDO SAVOIA & C,savoia s di leonardo savoia & c,IT,815600942EFB253D9366,,,,,,,"VIA LEQUILE, 6",LECCE,73100,GLEIF
SUNSURE SOLARPARK TWENTY THREE PRIVATE LIMITED,sunsure solarpark twenty three private,IN,335800G9JOMDNKTD3183,,,,,,,"1101A-1107, 11 FLOOR, BPTP, PARK CENTRA, SECTOR 30, SADAR BAZAR,",GURGAON,122001,GLEIF
Galaxia GmbH,galaxia,DE,254900Q71APZZYOCOR30,,,,,,,Maria-Hiller-Foll-Strasse 1,Stuttgart,70439,GLEIF
EDUSPACE SERVICES PRIVATE LIMITED,eduspace services private,IN,894500HS2HA8OD73II41,,,,,,,"16, India Exchange Place, Radha Bazar, Kolkata,",West Bengal,700001,GLEIF
CTL Cargo Trade Logistic Aktiebolag,ctl cargo trade logistic aktiebolag,SE,636700TID7M80MITRS79,,,,,,,Box 916,Arlandastad,195 05,GLEIF
SHOP DUTY FREE ONLINE SOCIEDAD LIMITADA,shop duty free online sociedad,ES,959800JXRH9JJAV5BT04,,,,,,,CALLE ALEJANDRO HIDALGO 3,"Palmas de Gran Canaria, Las",35005,GLEIF
