name,name_norm,country,lei,wikidata_qid,alias1,alias2,alias3,alias4,alias5,address,city,postal_code,source
,,GR,213800YJH1KDQZYUAM38,,,,,,,FEGGIA CHAIKALIOU 0,ACHAIA,25008,GLEIF
GAMMA GLOBAL VENTURES LTD,gamma global ventures,VG,254900K8W6ZN55DUSB39,,,,,,,C/O JTC (BVI) LIMITED 80 MAIN STREET PO BOX 3200 TORTOLA,ROAD TOWN,VG1110,GLEIF
PCSB Bank,pcsb bank,US,25490086NJSVNE3HLU55,,,,,,,120 East Washington St.,Clarinda,51632,GLEIF
KALTINVEST Zartkoruen Mukodo Reszvenytarsasag,kaltinvest zartkoruen mukodo reszvenytarsasag,HU,98450055050F0AB83C72,,,,,,,Eötvös utca 20. Fsz. 1. ajtó,Budapest,1067,GLEIF
AKSHAYA JOTHI TEX,akshaya jothi tex,IN,6488726UA3K1RLJ65W57,,,,,,,"39, Water Thank Street, Samalapuram Tamil Nadu",Tiruppur,641663,GLEIF
Beheermaatschappij J H J Zeebregts B V,beheermaatschappij j h j zeebregts b v,NL,7245002CRLTCJOUMED75,,,,,,,Pallasstraat 18,Tilburg,5048CJ,GLEIF
MEME DIGITAL OU,meme digital ou,EE,6488U9ZG1PS3Z7Z27742,,,,,,,Tatari tn 1,Tallinn,10116,GLEIF
M s SHREE BALAJI BASMATI HOUSE,m s shree balaji basmati house,IN,8945009IWFIIMAC2OA86,,,,,,,"KHASRA NO 74//9/2, VILL MANAK TABRA, TEHSIL- RAIPUR RANI, VILL MANAK TABRA",Panchkula,134204,GLEIF
LYREONX,lyreonx,FR,969500536GZ039MMMR40,,,,,,,200 RUE DE LA CROIX NIVERT,PARIS,75015,GLEIF
Skoglund Oil Co Inc,skoglund oil,US,254900GJ7N0PQX6A6817,,,,,,,c/o Karl A Skoglund 1985 145th Street,New Richmond,54017,GLEIF
MZE PICTURES LTD,mze pictures,GB,984500CF61E0889F0937,,,,,,,"First Floor, Jebsen House 53-61 High Street",Ruislip,HA4 7BD,GLEIF
Q FARMA S R L,q farma s r l,IT,5299000WEGCFWE2WMR07,,,,,,,Via Achille Grandi 18,Brescia,25125,GLEIF
HEXACHROME PRINT & PACK LLP,hexachrome print & pack llp,IN,9845009J2AGDD7FN8615,,,,,,,"6/A DURGADAS MUKHERJEE STREET, Ahritola",Kolkata,700005,GLEIF
OU MAINORFIN,ou mainorfin,EE,8945008I96TSOPSSY251,,,,,,,Tanuma tn 2,Tallinn,13521,GLEIF
TW Unternehmensgruppe GmbH,tw unternehmensgruppe,DE,8945008763AIQ21HU249,,,,,,,Ringstraße 66,Leverkusen,51371,GLEIF
,,GR,21380095KUW2SAVZYC29,,,,,,,KIPROY 52,LARISA,41221,GLEIF
J A Group Holding AB,j a group holding,SE,64884APD5310KGVY9234,,,,,,,Solbacken 6,Kvicksund,635 32,GLEIF
EL DA SRL,el da srl,IT,81560005B75578A31063,,,,,,,"VIA BOLDORI, 18",CREMA,26013,GLEIF
BOLLEDIS,bolledis,FR,969500YUDHMZL787J148,,,,,,,154 AVENUE BOLLEE 154-156,LE MANS,72000,GLEIF
ASIAN POLYMERS,asian polymers,IN,3358002ZS4LKRYCX7148,,,,,,,"NO 62 ,63 AND 65, BANNIMANTAP INDUSTRIAL A LAYOUT, BANNIMANTAP, MYSURU",MYSORE,570015,GLEIF
DR S SAMDARSHI HOSPITAL,dr s samdarshi hospital,IN,3358004ARSABVOPSUF15,,,,,,,SHALABH SAMDARSHI SHERGHATI NAYA BAZAR NEAR BLOCK OFFICE,GAYA,824211,GLEIF
Kluft Holding B V,kluft holding b v,NL,724500AN729AE6AYGS89,,,,,,,Aloysiuslaan 6,Vught,5262AH,GLEIF
Alpha Gestion Group SA,alpha gestion group,CH,254900AZHYACQ9QP8T96,,,,,,,Rue de la Fontenette 23 Carouge,Geneva,1227,GLEIF
GMINA PIELGRZYMKA,gmina pielgrzymka,PL,259400NR4K0ISAFQ8929,,,,,,,Pielgrzymka 109A/1,Pielgrzymka,59-524,GLEIF
TRINITY TRUST SEP 2025,trinity trust sep 2025,IN,335800Z4PRR3IZKM8Q43,,,,,,,"1402/03, B-WING, 14TH FLR, DALAMAL TOWERS,FREE PRESS JOURNAL MARG, 211, NARIMAN POINT",MUMBAI,400021,GLEIF
NEOWISE LIFE SCIENCES PRIVATE LIMITED,neowise life sciences private,IN,335800SHOVMZ15J8VD73,,,,,,,"A 27, KURKUMBH MIDC, MIDC KURKUMBH,DAUND,",PUNE,413802,GLEIF
Veracite Trust Company Ltd,veracite trust,CA,254900KOSDF9IIGAJK76,,,,,,,4075 CAMBRIDGE STREET,BURNABY,V5C 1G6,GLEIF
NAMAN FINLEASE PRIVATE LIMITED,naman finlease private,IN,9845002EBA9A5GE68403,,,,,,,"S-370, BASEMENT PANCHSHEEL PARK",Delhi,110017,GLEIF
Rev Consult Ky,rev consult ky,FI,743700XZTNVYBL7OAU76,,,,,,,Wahlforssinkatu 8 80100 JOENSUU,JOENSUU,FI-80100,GLEIF
SUNSTAR INVESTMENTS,sunstar investments,IN,89450069VQ71GFJTE233,,,,,,,"9th Floor, 916 Home Land City, U.M. Road",SURAT,395007,GLEIF
J COUCHMAN LTD,j couchman,GB,984500C73AE8I0E43638,,,,,,,4 Greystone Close,South Croydon,CR2 8PP,GLEIF
Y L D Holding B V,y l d holding b v,NL,72450024ZPGZ201FZ440,,,,,,,San Franciscostraat 44,Lijnden,1175RE,GLEIF
DF Deutsche Finance ICT-Solutions GmbH,df deutsche finance ict-solutions,DE,391200M7S35VOF98UK90,,,,,,,Hansastraße 29,München,81373,GLEIF
DWARAKA DIAGNOSTICS LTD,dwaraka diagnostics,GB,984500F4E2BFFJBDC689,,,,,,,20 Black Horse Lane Hersden,Canterbury,CT3 4FU,GLEIF
MAXADVERT S R O,maxadvert s r o,SK,254900ZCC33ML8U0EZ43,,,,,,,Hattalova 8,Bratislava,83103,GLEIF
RUSH TRONDHEIM AS,rush trondheim,NO,984500B6764DB55E0669,,,,,,,Østre Rosten 20,TILLER,7075,GLEIF
SOCIETE CIVILE HOLDING BEJARC,societe civile holding bejarc,FR,969500Y71ATZLBMR9V53,,,,,,,202 CHEMIN DE GALARETA,ARCANGUES,64200,GLEIF
TEAMPOWER SERVICE SPOKA Z OGRANICZONA ODPOWIEDZIALNOSCIA,teampower service spoka z ograniczona odpowiedzialnoscia,PL,259400AGG3C2DP8SKH88,,,,,,,Plewiska Grunwaldzka 517C/6,Plewiska,62-064,GLEIF
Galati Yacht Sales California Inc,galati yacht sales california,US,2549005A62TRGHUNYO07,,,,,,,C/O CRIS JOHN WENTHUR 4121 NAPIER STREET,SAN DIEGO,92110,GLEIF
CHRISTIAN SYVERSTAD AS,christian syverstad,NO,6367008QO57W7GQYL386,,,,,,,Bruksveien 23,Snarøya,1367,GLEIF
NILGIRI BUILDERS PRIVATE LIMITED,nilgiri builders private,IN,984500A03RE2AF7D5341,,,,,,,"Pehani P.O Buniyadganj P.S Muffasail, Manpur",Gaya,823003,GLEIF
NAYSA SERVICIOS AEREOS S L,naysa servicios aereos s l,ES,95980040JSZH1A751H13,,,,,,,IGNACIO ELLACURIA BEASCOECHEA 2,Telde,35214,GLEIF
B O G TRUSTEE LIMITED,b o g trustee,GB,64880G18S6EQ7AFE1674,,,,,,,Seebeck House 1 Seebeck Place Knowlhill,Milton Keynes,MK5 8FR,GLEIF
RIMA 1874 Mineral Spring LLC,rima 1874 mineral spring,US,2549004RSNW952TIXG02,,,,,,,C/O CT CORPORATION SYSTEM 450 VETERANS MEMORIAL PARKWAY SUITE 7A,EAST PROVIDENCE,02914,GLEIF
Statistical Solutions Limited,statistical solutions,IE,529900NV5S9A159UUU37,,,,,,,4500 Airport Business Park Kinsale Road,Cork,T12 NX7D,GLEIF
HUBFLOW LIMITED,hubflow,GB,213800T9VEZVMLB3UU89,,,,,,,43 LOCKVIEW ROAD,BELFAST,BT9 5FJ,GLEIF
Starnet Development Overseas Limited,starnet development overseas,VG,391200YV9FL2JGJAZG13,,,,,,,"Portcullis Chambers, 4th Floor, Ellen Skelton Buidling, 3076 Sir Francis Drake Highway",Road Town Tortola,VG1110,GLEIF
DAYOSHI INVEST,dayoshi invest,FR,969500QOEMAFMPD4JZ28,,,,,,,96 BOULEVARD MARIUS VIVIER-MERLE,LYON,69003,GLEIF
Frank Holding B V,frank holding b v,NL,724500X6HHM9RPZ8B063,,,,,,,Oranjepolderweg 51,Maasdijk,2676CM,GLEIF
MOBILE INFRASTRUCTURE CORPORATION,mobile infrastructure,US,254900BL5PV89M4T7T50,,,,,,,C/O CSC-LAWYERS INCORPORATING SERVICE COMPANY 7 ST. PAUL STREET SUITE 820,BALTIMORE,21202,GLEIF
THE J W MACINTOSH DISCRETIONARY TRUST,the j w macintosh discretionary trust,GB,213800ZBOLYS6XLFJE03,,,,,,,16B BASSET ROAD,LONDON,W10 6JJ,GLEIF
5150 MILLENIA FL OWNER LP,5150 millenia fl owner,US,254900VF9QF8MOZ9VC28,,,,,,,C/O CORPORATION SERVICE COMPANY 251 LITTLE FALLS DRIVE,WILMINGTON,19808,GLEIF
NAOMISAN S L,naomisan s l,ES,959800GTQ8G5WFPPAZ58,,,,,,,AVENIDA BULEVAR CIUDAD DE VICAR 718 EDIF. MCDONALD´S,Vícar,04738,GLEIF
SHYAM STEELS,shyam steels,IN,3358003S5FX565XTIK07,,,,,,,"46, T I T ROAD, RATLAM,",RATLAM,457001,GLEIF
UNIMOTION Industrijska avtomatizacija d o o,unimotion industrijska avtomatizacija d o o,SI,485100OH0JU6WUT4XT25,,,,,,,Alpska cesta 043,LESCE,4248,GLEIF
CABINET BERRUYER - MAMERI,cabinet berruyer - mameri,FR,89450085XQWDM7EGLM66,,,,,,,84 BOULEVARD DES BELGES,LYON,69006,GLEIF
TRUST COSTACURTA STEVEN,trust costacurta steven,IT,529900LL9QS95NVGKQ85,,,,,,,"c/o Steven Costacurta, Via Caribollo, 11",Marostica,36063,GLEIF
VALIANT STEEL MART LLP,valiant steel mart llp,IN,984500E40ACEE56AAK32,,,,,,,"E-57 Industrial Area, Site-I, Bulandshahr Road",Ghaziabad,201009,GLEIF
LOG HUT BUILDERS AND DEVELOPERS PRIVATE LIMITED,log hut builders and developers private,IN,64881T99A793N6DNOY65,,,,,,,"UNIT NO. TE-1026, 10TH FLOOR, PLOT NO. 252 CP-67, SECTOR-67, AIRPORT ROAD, Chandigarh Sector 67 Rupnagar, Punjab",S.A.S.Nagar (Mohali),160062,GLEIF
SMT DATA A S,smt data a s,DK,98450097P807C79C4942,,,,,,,"Kongevejen 400 B, 1. Øverød",Holte,2840,GLEIF
SARDAR MINI RICE MILL,sardar mini rice mill,IN,8945009NZCMUOO839M04,,,,,,,HARCHANDPUR,RAEBARELI,229001,GLEIF
SAINATH ROADWAYS SAINATH ROADWAYS & CO,sainath roadways sainath roadways &,IN,8945009VOI38LQQ1ZE44,,,,,,,ROOM NO 27 B/3 FLORENCE HOUSE PADVAL NAGAR WAGLE ESTATE THANE,THANE,400604,GLEIF
TEK EDUCATIONAL SOICETY,tek educational soicety,IN,335800NFNK8FKREIED55,,,,,,,NEAR CHINI GODOWN DHALWALA RISHIKESH,DEHRADUN,249201,GLEIF
SNP Invest ApS,snp invest aps,DK,8945008ZCGS0JNFEKQ41,,,,,,,"Bødker Balles Gård 2, 3, 2",Aarhus,8000,GLEIF
GREAT VALIRA INTERNATIONAL S L SOCIEDAD UNIPERSONAL,great valira international s l sociedad unipersonal,AD,959800D58SUUC69V5071,,,,,,,AVDA DEL FENER 7,ESCALDES-ENGORDANY,AD700,GLEIF
De Toekomst B V,de toekomst b v,NL,9845007636063D410734,,,,,,,Tjaerdawei 43 a,Rinsumageast,9105 KD,GLEIF
TECHBAU BUDOWNICTWO SPOKA Z OGRANICZONA ODPOWIEDZIALNOSCIA,techbau budownictwo spoka z ograniczona odpowiedzialnoscia,PL,259400K2LXY9YVQIPI69,,,,,,,Nowe Grocholice Pruszkowska 41,Nowe Grocholice,05-090,GLEIF
Sigurds Flyttefirma ApS,sigurds flyttefirma aps,DK,984500490A590ZA36A31,,,,,,,Enggårdstoften 91,Vejle Øst,7120,GLEIF
AMAR SOLVEX PRIVATE LIMITED,amar solvex private,IN,335800TRH9WRR9OLJR46,,,,,,,CHAND PURANA BAGHAPURANA,MOGA,142038,GLEIF
MARIE BENEDICTE PAIN,marie benedicte pain,FR,894500868TZWW627WQ51,,,,,,,222 BOULEVARD SAINT GERMAIN,PARIS,75007,GLEIF
Xtrackers DJE Europe Equity Research UCITS ETF,xtrackers dje europe equity research ucits etf,IE,254900VGYTM7SHS9BG15,,,,,,,78 Sir John Rogerson's Quay,Dublin,D02 RK57,GLEIF
AMBA DEVI GAD SANSTHAN NANDURA,amba devi gad sansthan nandura,IN,984500K210IA561E2691,,,,,,,"Ambadevi Gad Sansthan Motipura, Buldana",Nandura,443404,GLEIF
Rewitz Holding ApS,rewitz holding aps,DK,9845004F9B470B764006,,,,,,,Strandlodden 10,Hundested,3390,GLEIF
SRI VATSALA ENTERPRISES,sri vatsala enterprises,IN,984500DEADBFCBOC9556,,,,,,,"7-145, MAINROAD , NEAR VENKATESH LORRY TRANSPORT, THOORANGI , KAKINADA",East Godavari,533001,GLEIF
,,AE,9845002B0801C854EF03,,,,,,,عبدالله إبراهيم مكتب رقم 204 لصاحبه أحمد عبدالله الحواي - المركز التجاري الأول,دبي,,GLEIF
EVENO SAS,eveno,FR,9695001T3JA8V7KXEY29,,,,,,,ZONE IND DU GAILLEC,PLOEMEUR,56270,GLEIF
THE WOODLANDS OF LATHAM INC,the woodlands of latham,US,2549003OGMFTPTZDVG78,,,,,,,427 New Karner Road,Albany,12205,GLEIF
EASY RETAIL S A,easy retail s a,CL,984500A031DF7E384608,,,,,,,AV.KENNEDY 9001 PISO 6,LAS CONDES,7591567,GLEIF
BAGNO TROPICANA S R L,bagno tropicana s r l,IT,9845005498437FB76224,,,,,,,VIA LUNGOMARE DI LEVANTE 8,MASSA,54100,GLEIF
ALKA MIRANI,alka mirani,IN,6488DG752R2BP4Q7F287,,,,,,,"1, C/O. KARAN COTTON PROCESSER, WAIGAON DEOLI, Maharashtra",Wardha,442001,GLEIF
CENTURY BIKES PRIVATE LIMITED,century bikes private,IN,64889PGJ8DP19H891R88,,,,,,,"Near Pandya Hotel, Shastri Bridge Opp. Polytechnic College Gujarat",Vadodara,390002,GLEIF
Inkindle Limited,inkindle,AE,391200YVYTIWIPJ2SG94,,,,,,,"Desk. D28, Floor. 11, Al Sarab Tower",United Arab Emirates,000000,GLEIF
BLUE CLIP INTERNATIONAL PRIVATE LIMITED,blue clip international private,IN,6488V8703RD5M1LV0L19,,,,,,,"113/131 Swaroop Nagar, Uttar Pradesh",Kanpur,208002,GLEIF
ARCHI MEDES INDIA CONSULTANTS PRIVATE LIMITED,archi medes india consultants private,IN,8945007A2C8GH23G5M57,,,,,,,"A-8, FIRST FLOOR SHIVALIK, MALVIYA NAGAR, South Delhi, NEW DELHI",DELHI,110017,GLEIF
Silkeborg Teltudlejning ApS,silkeborg teltudlejning aps,DK,984500GN6367FAF4C657,,,,,,,"Bøgegade 2 C, 2. tv.",Aarhus N,8200,GLEIF
COMPTOIR CLUSIEN DE CREDIT,comptoir clusien de credit,FR,969500Q25Y0VAJGBS705,,,,,,,LA BOURDEILLE,SAINT PRIEST LES FOUGERES,24450,GLEIF
TRE EFFE S R L,tre effe s r l,IT,815600F9FE1E8D9DA125,,,,,,,"VIA GARIBALDI, 18",VERMEZZO CON ZELO,20071,GLEIF
SPICY S R L,spicy s r l,IT,9845007FA1C7013A7572,,,,,,,VIA CAPO 82,SORRENTO,80067,GLEIF
COMPOSITION X LIMITED,composition x,GB,98450080LD3E5A5F6760,,,,,,,10 Stafford Mansions Stafford Place,London,SW1E 6NL,GLEIF
EASY CASH GROUPE,easy cash groupe,FR,9695005GGBMC3ONYBL12,,,,,,,8 AVENUE ARIANE,MERIGNAC,33700,GLEIF
Golden Sword Ventures Limited,golden sword ventures,VG,2549006SBKV8POOYY680,,,,,,,C/O Vistra (BVI) Limited Vistra Corporate Services Centre Wickhams Cay II Tortola,Road Town,VG1110,GLEIF
Burnt Pie Holdings B V,burnt pie holdings b v,NL,724500AXI27H6ZHE5I46,,,,,,,Pijnackerstraat 10 3,Amsterdam,1072JT,GLEIF
FAIRMORT LIMITED,fairmort,GB,64880V0EWN19YH177K86,,,,,,,South Quay Building 77 Marsh Wall,London,E14 9SH,GLEIF
FOUNDRY GALLOP MIAMI I LLC,foundry gallop miami i,US,254900X9FWSL0WX36625,,,,,,,"C/O NATIONAL REGISTERED AGENTS, INC. 1209 ORANGE STREET",WILMINGTON,19801,GLEIF
Insinooritoimisto TR-Tekniikka Oy,insinooritoimisto tr-tekniikka,FI,8945009IQVYQZB070Q52,,,,,,,Stenbäckinkatu 8,HELSINKI,00250,GLEIF
GAURI INVESTMENTS,gauri investments,IN,3358003QZWNUR398D635,,,,,,,"4TH FLOOR, 408/9/10, CENTRE POINT, MITRA MANDAL CHOWK, PARVATI,",PUNE,411009,GLEIF
Himelaja B V,himelaja b v,NL,724500F4VVNL8FYERK02,,,,,,,Gerard Doulaan 29,Naarden,1412HZ,GLEIF
Knak IT - Solutions GmbH,knak it - solutions,DE,8945008TCAD2NDK42245,,,,,,,Mühlbachweg 7,Schwaikheim,71409,GLEIF
AMIT KUMAR,amit kumar,IN,6488P30O2TK0675SSQ26,,,,,,,"B27/98C, DURGAKUND, ROAD OPPOSITE, VRIDDHA ASHRAM Uttar Pradesh",Varanasi,221005,GLEIF
COMFORT SYSTEM Kereskedelmi Szolgaltato es Tanacsado Korlatolt Felelossegu Tarsasag,comfort system kereskedelmi szolgaltato es tanacsado korlatolt felelossegu tarsasag,HU,9845004F78E4DOC4F422,,,,,,,Guczi sor 15.,Mórahalom,6782,GLEIF
CLOVERSKY INVESTMENTS UNLIMITED COMPANY,cloversky investments unlimited,IE,635400FGULJZGA5BNV94,,,,,,,Beechmount Home Park,Navan,C15WR60,GLEIF
ARF LIFESCIENCES LLP,arf lifesciences llp,IN,6488CUH9KQN212B44535,,,,,,,"PLOT NO. 313, GAJIPUR TEHSIL BADHKAL Haryana",FARIDABAD,121001,GLEIF
PUNE MOTORS,pune motors,IN,6488DL8M8FOW794B5231,,,,,,,"S. No. 6/1/5/1, Narhe Industrial Estate Road, Narhe Maharashtra",Pune,411041,GLEIF
R K INTERNATIONAL,r k international,IN,648885PC1TQNY0Q74551,,,,,,,"10th FLOOR, FLAT NO.1008-, VIKRAM TOWER 16-RAJENDRA PLACE, Delhi",NEW DELHI,110008,GLEIF
PANNA STONES PRIVATE LIMITED,panna stones private,IN,64884MBT93BKC6539H29,,,,,,,"PLOT NO.14(P), FIRST PHASE, JIGANI INDUSTRIAL AREA JIGANI, Karnataka",BANGALORE,562106,GLEIF
Goldtrust Investments B V,goldtrust investments b v,NL,724500KENKZF09BL8Z43,,,,,,,Stationsplein 28,Weesp,1382AD,GLEIF
MAANVI PROJECTS,maanvi projects,IN,98450098AFEDB2B57753,,,,,,,"PLOT NO. 204, SRI SWAMY AYYAPPA SOCIETY, MADHAPUR",Hyderabad,500081,GLEIF
SOLARIA S R L,solaria s r l,IT,894500BZA4P71LQS9632,,,,,,,"VIA E. DE AMICIS,",ROSETO DEGLI ABRUZZI,64026,GLEIF
Anna Abreu Music Oy,anna abreu music,FI,743700BKFVSPV6E1E120,,,,,,,Perusmäentie 29 B 1 02920 ESPOO,ESPOO,FI-02920,GLEIF
FAGOR CONTROL SYSTEMS PRIVATE LIMITED,fagor control systems private,IN,6488V6BG2NO277K50D57,,,,,,,"No. 40/A, Site No.193/2, Peenya Industrial Area Chokkasandra, Karnataka",Bangalore,560058,GLEIF
IMMANNI CHAITANYA,immanni chaitanya,IN,9845000A40E449C1E466,,,,,,,"G1, Sayanna Arcade, Nizampet, Bachupally road, Medchal Malkajgiri",Hyderabad,500090,GLEIF
NEBULA SRL,nebula srl,IT,81560050D65B5738C443,,,,,,,"ZONA ARTIGIANALE EST, 13A",RACINES,39040,GLEIF
HACG,hacg,FR,8945008G94OTDYIDFU25,,,,,,,1 route de royan,saintes,17100,GLEIF
AZ ALLOCATION - EQUITY PROTECTION 2030,az allocation - equity protection 2030,IE,213800KZQNFVKK5U8711,,,,,,,"C/O AZIMUT INVESTMENTS LIMITED 1ST FLOOR BLOCK C, ONE PARK PLACE HATCH STREET UPPER",DUBLIN,D02 E762,GLEIF
T H KINGERLEE & SONS LIMITED,t h kingerlee & sons,GB,213800MVBJZCYWWXC426,,,,,,,THOMAS HOUSE LANGFORD LOCKS,KIDLINGTON,OX5 1HR,GLEIF
OP III-EIGF Promenade Retail LP,op iii-eigf promenade retail,US,2549003OUNRLEMKIXH17,,,,,,,C/O THE CORPORATION TRUST COMPANY CORPORATION TRUST CENTER 1209 ORANGE ST,WILMINGTON,19801,GLEIF
SIGMA TOOLINGS INDIA PRIVATE LIMITED,sigma toolings india private,IN,64888BY8Q6LS70U1C576,,,,,,,"IBNO-17, SNO.-64/1, DISHA SA-NSKRUTI ITKHEDA, PAITHAN ROAD, Maharashtra",AURANGABAD,431001,GLEIF
SADA ANG SANGE CHARITABLE TRUST,sada ang sange charitable trust,IN,335800AY282TDTK3GD35,,,,,,,WARD 2 TAKHT SAHIB TALWANDI SABO SO BATHINDA,TALWANDI SABO,151302,GLEIF
PM Constructions,pm constructions,IN,6488U3V6L77YH7SA5782,,,,,,,"Plot No. 8A, Poonyam Banglow, Bibawewadi Gangadham Banglow Soc., Market Yard Road MAHARASHTRA",Pune,411037,GLEIF
POWERMUST,powermust,FR,969500IBWUHKBJ7D4F73,,,,,,,30 RUE DU CALVAIRE,LA HAIE-FOUASSIERE,44690,GLEIF
Hoyt R Barnett Family Trust UAD 09 18 81,hoyt r barnett family trust uad 09 18 81,US,254900SNHW6RU7G6CV88,,,,,,,5815 Live Oak Road,Lakeland,33813,GLEIF
800,800,GR,984500B75A6A468B4E28,,,,,,,ΠΕΙΡΑΙΩΣ 39-43,ΜΟΣΧΑΤΟ-ΤΑΥΡΟΣ,18346,GLEIF
Davibo Beheer B V,davibo beheer b v,NL,724500DBG6UQSFDN2D18,,,,,,,Rietlandpark 301,Amsterdam,1019DW,GLEIF
Herberg t Mun B V,herberg t mun b v,NL,724500PQXMISMA4QJE28,,,,,,,Van Ruijsdaelstraat 17,Drunen,5151WJ,GLEIF
Golding Infrastructure VI SCS SICAV-FIAR Teilfonds B,golding infrastructure vi scs sicav-fiar teilfonds b,LU,391200IWGE6CSGIGBU87,,,,,,,"6, avenue Marie-Thérèse",Luxembourg,2132,GLEIF
9540-4158 Quebec inc,9540-4158 quebec,CA,984500593D52ABDE1E18,,,,,,,1700-1000 Rue Sherbrooke Ouest,Montréal,H3A 3G4,GLEIF
MOHIT INDERLAL MAHESHWARI,mohit inderlal maheshwari,IN,984500F4DAE60DD5AR02,,,,,,,"2nd floor, C-202, Sumel 6, Dudheshwar Road, Shahibaug",Ahmedabad,380004,GLEIF
Erste Ascherslebener Immobilien GmbH,erste ascherslebener immobilien,DE,529900UTJKYCWQVQ0Z43,,,,,,,Sternstraße 32,Magdeburg,39104,GLEIF
Amtsmuhle Rolau GmbH,amtsmuhle rolau,DE,391200B2OVXLMOGEAV19,,,,,,,Mühlenstr. 47-49a,Dessau-Roßlau,06862,GLEIF
ARIANE BROHEZ AVOCAT,ariane brohez avocat,BE,699400B5TBSKW01T6I27,,,,,,,Avenue de Tervueren 2,Etterbeek,1040,GLEIF
CONSERVATIVE FUND,conservative fund,NZ,213800FI12XQTUEEKW46,,,,,,,"C/O FISHER FUNDS MANAGEMENT LIMITED LEVEL 1, 67-73 HURSTMERE ROAD, TAKAPUNA",AUCKLAND,0622,GLEIF
OCTAL VENTURES LTD,octal ventures,VG,254900M1QC727EWZZ652,,,,,,,80 MAIN STREET PO BOX 3200 TORTOLA,ROAD TOWN,VG1110,GLEIF
ARM INVEST,arm invest,FR,969500BDU0M2UVNIUJ44,,,,,,,5 IMPASSE CLAUDE MONET,LIVERDY-EN-BRIE,77220,GLEIF
SPFPL LB92,spfpl lb92,FR,254900NO4LOKL477ST12,,,,,,,"Rue Du Bois De Boulogne, 25 Neuilly Sur Seine",Paris,92200,GLEIF
VINTAGE X FLAGSHIP - CAYMAN OFFSHORE DHP LP,vintage x flagship - cayman offshore dhp,US,9845008656AXF04E5C62,,,,,,,251 LITTLE FALLS DRIVE,WILMINGTON,19808,GLEIF
B-COOL,b-cool,BE,894500A4RJHJ9N6XL677,,,,,,,Sint-Lambrechts-Herkstraat 26,Hasselt,3500,GLEIF
RANSON INTERNATIONAL,ranson international,IN,335800ZVIM9RL36HGF79,,,,,,,"DASUYA HAJIPUR ROAD, NANGAL BIHALAN",HOSHIARPUR,144221,GLEIF
Lions Production Kft,lions production kft,HU,875500V9VD0B1IU1Z365,,,,,,,Stollár Béla utca 18.,Budapest,1055,GLEIF
PROA PARTS&COMPONENTS SL,proa parts&components sl,ES,959800USQJXNL5NWHV80,,,,,,,Gremi sucrers i Candelers 6,Palma de Mallorca,07009,GLEIF
OCEAN FASHION PRIVATE LIMITED,ocean fashion private,IN,89450078OGAJQ84J9M77,,,,,,,"T-5131, PUSA LANE, R.E.S. MARG ROAD, KAROL BAGH, Central Delhi",DELHI,110005,GLEIF
SILVER SWORD INVESTMENTS LTD,silver sword investments,GB,98450006DA8A97796B66,,,,,,,27 Beaumaris Road Bearwood,Bournemouth,BH11 9FX,GLEIF
SINULNA SOCIEDAD LIMITADA,sinulna sociedad,ES,9845006E56PC4B890022,,,,,,,"Calle Del Mar, nº 17. SANT ANTONI DE PORTMANY",ILLES BALEARS,07820,GLEIF
S P FRANCE,s p france,FR,8945009371I7I6ODXM59,,,,,,,RUE CHARLIE CHAPLIN 3,BOIS-D'ARCY,78390,GLEIF
YANOVITCH INTERNATIONAL LLC,yanovitch international,FR,894500AFJJX9YCAHE246,,,,,,,66 avenue des Champs Elysées,Paris,75008,GLEIF
Tingsvalvet Kraftledningen 10 AB,tingsvalvet kraftledningen 10,SE,636700AFKH8M85YY7648,,,,,,,Mått Johanssons väg 52 A,Eskilstuna,633 46,GLEIF
Squinq Financial Advisors,squinq financial advisors,BE,699400OXIEKSJE25CD20,,,,,,,Hazelarenstraat 8 bus 101,Antwerpen,2020,GLEIF
TOOLASI SILK AND SAREES,toolasi silk and sarees,IN,6488B1MJ9SXO7024D654,,,,,,,"25/643-3-5-1, PARTHASARADHI NAGAR, NEAR ARIGELAPOTHANNA RICE MILL Sri Sathyasai, Andhra Pradesh",Dharmavaram,515671,GLEIF
OnPlatform B V,onplatform b v,NL,724500LLMATSX73GKU64,,,,,,,Hobbemalaan 54,Bilthoven,3723ET,GLEIF
H STEVIK INVEST AS,h stevik invest,NO,6488XZA565VN61EV5911,,,,,,,Hellersøyvegen 46,BULANDET,6987,GLEIF
BELGITECH,belgitech,BE,875500RLBCZ7086BP970,,,,,,,Clos de la maloue 28,waterloo,1410,GLEIF
societe nationale de defense des animaux,societe nationale de defense des animaux,FR,8945008RSUVE9K9BII93,,,,,,,13 place PAUL VERLAINE,Boulogne-Billancourt,92100,GLEIF
JUMP STREET LIMITED,jump street,GB,984500FJC62BD3C68B44,,,,,,,Unit 5 Britannia Road Patchway,Bristol,BS34 5TA,GLEIF
THE IRINJALAKUDA DON BOSCO SOCIETY,the irinjalakuda don bosco society,IN,9845003QFCCD88U37651,,,,,,,"P.B No. 35, Irinjalakuda",THRISSUR,680121,GLEIF
